"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000102141",552.763319078898,-0.134391556907552,0.204693118200859,-0.656551417501384,0.511469395979656,0.999947348795925
"ENSDARG00000102123",244.649805972444,-0.199594524244103,0.294873749276805,-0.676881291514149,0.498481275075522,0.999947348795925
"ENSDARG00000114503",768.980648698255,-0.101273835242925,0.19298904986117,-0.524764670927073,0.599746793936768,0.999947348795925
"ENSDARG00000115971",7.63702380147916,-1.06044007856838,1.87847887892808,-0.564520629145166,0.572399864824542,0.999947348795925
"ENSDARG00000098311",594.284830323656,-0.100777403502361,0.2067841453194,-0.487355562713473,0.626006378796737,0.999947348795925
"ENSDARG00000104839",149.822588341254,0.0861712758475918,0.371850731670328,0.231736200868871,0.816742912393866,0.999947348795925
"ENSDARG00000100143",3508.79737733795,-0.0200594896133607,0.107115636556113,-0.187269480519331,0.851449350668888,0.999947348795925
"ENSDARG00000102474",1657.14317661002,0.0343917482278054,0.132450914711051,0.259656555055379,0.795128707426565,0.999947348795925
"ENSDARG00000104049",340.837840824196,0.169436086374294,0.253742451566153,0.667748283066151,0.504294283912406,0.999947348795925
"ENSDARG00000102226",440.912685435028,-0.208128198684846,0.224344059622744,-0.927718786202025,0.353553460995463,0.999947348795925
"ENSDARG00000103095",393.269173717479,0.146155651205865,0.237389856560151,0.615677743454179,0.538107229391555,0.999947348795925
"ENSDARG00000102128",446.439834080342,0.0216343411658866,0.23276423526178,0.0929452978098432,0.925947019027373,0.999947348795925
"ENSDARG00000110470",511.916648653072,-0.0495559729988157,0.215095857040554,-0.230390178967847,0.817788591962851,0.999947348795925
"ENSDARG00000100422",1114.40078016972,-0.272685285238946,0.151999981152473,-1.79398236217814,0.0728159840851452,0.999947348795925
"ENSDARG00000104632",375.524314818872,-0.126566180426458,0.290849151024196,-0.435160907228947,0.663445636074294,0.999947348795925
"ENSDARG00000100660",301.872186477136,0.520285961067485,0.304100964924018,1.71089875100358,0.0870998052370937,0.999947348795925
"ENSDARG00000113107",89.2797886380174,0.163047555161228,0.476368844050998,0.342271660284679,0.732146460849088,0.999947348795925
"ENSDARG00000099787",23.2319304465635,-0.598085862109577,0.913481840643513,-0.654732076215383,0.512640269446833,0.999947348795925
"ENSDARG00000112451",301.226061052033,-0.0830204423415222,0.265580230705557,-0.312600234290651,0.754584400103036,0.999947348795925
"ENSDARG00000070546",11564.3196328639,-0.112640176763502,0.0896808709537444,-1.25601118238024,0.209111915805819,0.999947348795925
